"Название курса";"Количество файлов";"Заполненность (%)"
"Курсовая работа по учебной дисциплине ""Тяговый электропривод""";0;0%
"Архитектурно-градостроительная и архитектурно-дизайнерская деятельность как креа";0;0%
"Энергетический менеджмент и управление качеством";0;0%
"Средства и технологии анализа и разработки информационных систем";0;0%
Логоритмика;0;0%
"Монументально-декоративные техники в архитектуре / Декоративно-прикладное искусс";0;0%
"Тепловые процессы в технологических системах";0;0%
"Современные пространственные конструкции";0;0%
"Ремонт объектов и систем транспортирования и хранения нефти и газа";0;0%
"Нематериальное культурное наследие Беларуси и Туркменистана";0;0%
Источниковедение;0;0%
"Реставрация памятников архитектуры";0;0%
"Современные методы контроля работы систем водоснабжения и водоотведения / Соврем";0;0%
"Линейная алгебра и аналитическая геометрия";0;0%
"Алгоритмы, структуры данных и технологии программирования";0;0%
"Политическая история и современные политические процессы в Республике Беларусь";0;0%
"Сопротивление материалов и теория упругости";0;0%
"Программирование мобильных систем";0;0%
"Межкультурная коммуникация и перевод / Анализ художественного текста";0;0%
"Модуль ""Информационные технологии""";0;0%
"Оптимизация и SEO / Системный менеджмент и инженерия / Экономическая информатика";0;0%
"Курсовой проект по учебной дисциплине ""Технология разработки программного обеспе";0;0%
"Техника высоких напряжений";0;0%
"Физика ядра";0;0%
"Лабораторный спецпрактикум ""Моделирование электрофизических процессов""";0;0%
"Основы маркетинга";0;0%
"Антенны и устройства СВЧ";0;0%
Тайм-менеджмент;0;0%
Бизнес-анализ;0;0%
"Теория вероятности и математическая статистика";0;0%
"Рынок ценных бумаг";0;0%
"Маркетинговый анализ / Цифровая трансформация бизнеса";0;0%
"Управление инвестиционными проектами";0;0%
"Инженерное обеспечение надежности";0;0%
"Последовательный перевод";0;0%
"Преступления в сфере информационных технологий и с их использованием";0;0%
"Основы алгоритмического маркетинга / Мобильные приложения в маркетинге";0;0%
"Преддипломная переводческая";0;0%
"Введение в профессию";0;0%
"Электротехника и электрооборудование";0;0%
"Международное сотрудничество в сфере таможенного дела";0;0%
"Теория и методика обучения и воспитания детей дошкольного возраста";0;0%
"Педагогическая в учреждениях образования";0;0%
"Средства технологического оснащения автосервиса";0;0%
"Основы WEB-программирования";0;0%
"Курсовой проект по учебной дисциплине ""Машины и аппараты химических производств""";0;0%
Психофизиология;0;0%
"Основы права / Культурология";0;0%
"Модуль ""Аддитивные технологии"" / Модуль ""Автомобильные системы""";0;0%
"Строительная механика";0;0%
"Основы технологии нефтепереработки";0;0%
"Теория практической реализации игр";0;0%
"Ландшафтная архитектура";0;0%
"Высшая математика";0;0%
"Компьютерные сети и системы";0;0%
"Проектирование и эксплуатация нефтебаз и нефтехранилищ";0;0%
"Основы управления финансовыми рисками";0;0%
"Административное право";0;0%
"Экономика малого бизнеса";0;0%
"Государственный экзамен по специальности, направлению специальности, специализац";0;0%
"Практические навыки таможенного дела";0;0%
"Управление знаниями";0;0%
"Курсовая работа ""Основной иностранный язык"" или ""История литературы страны изуча";0;0%
Социально-педагогическая;0;0%
"Основы инновационной деятельности в проектировании и строительстве систем теплог";0;0%
"Инвестиционное право / Международный коммерческий арбитраж";0;0%
"Развитие игровой деятельности детей дошкольного возраста";0;0%
"Теория спорта";0;0%
"Курсовой проект по учебной дисциплине ""Техническое обслуживание автомобилей""";0;0%
"Курсовая работа по учебной дисциплине ""Методология дизайн-проектирования""";0;0%
"Типовые расчеты в химии / Элементарные сведения о строении вещества / Химия угле";0;0%
"Модуль ""Психологическое консультирование в деятельности педагога-психолога""";0;0%
Обзорно-технологическая;0;0%
"Эффективные методы упрочнения деталей машин";0;0%
"Модули специализации 1-70 02 01 01 Технология и организация строительного произв";0;0%
"Экологическая и промышленная безопасность производства / Управление качеством ок";0;0%
"Разработка виртуальных миров";0;0%
"История России и Украины";0;0%
"Инженерное оборудование зданий";0;0%
"Детали машин и основы конструирования";0;0%
"Компьютерное проектирование и моделирование";0;0%
"Курсовой проект по учебной дисциплине ""Сооружение объектов трубопроводного транс";0;0%
"Защита населения и объектов в чрезвычайных ситуациях. Радиационная безопасность";0;0%
"Археолого-этнографическая (ознакомительная)";0;0%
"Курсовая работа по учебной дисциплине ""Экономика производства""";0;0%
"Микро- и макроэкономика";0;0%
"Программирование на языках высокого уровня";0;0%
"История литературы страны изучаемого языка Средних веков и Возрождения";0;0%
"Практикум по орфографии (на базе первого иностранного языка)";0;0%
"Надежность и обеспечение качества программного обеспечения";0;0%
"Архитектура компьютеров";0;0%
"Программное обеспечение электронных средств";0;0%
"Электричество и магнетизм";0;0%
"Курсовой проект по учебной дисциплине ""Технология производства программно-управл";0;0%
"Экономический анализ деятельности организации";0;0%
"Параллельные архитектуры и алгоритмы";0;0%
"Основы высшей математики и теории вероятностей";0;0%
"Интеллектуальная техника менеджмента";0;0%
"Экспедирование грузов";0;0%
Статистика;0;0%
"Отраслевая политика";0;0%
"Бухгалтерский учет и отражение в отчетности природных ресурсов как части природн";0;0%
"Право интеллектуальной собственности в предпринимательстве / Корпоративное право";0;0%
"Квалификация преступлений";0;0%
"Товарная политика и бренд-менеджмент";0;0%
"Зарубежная литература (русская литература)";0;0%
"Курсовой проект по учебной дисциплине ""Водоподготовка""";0;0%
"Информационные технологии в таможенном деле";0;0%
"Иностранный язык (профессиональный)";0;0%
"Гимнастика и методика преподавания";0;0%
"Механизация процессов технической эксплуатации автомобилей";0;0%
"Материаловедение и технология конструкционных материалов";0;0%
"Психология личности";0;0%
"Педагогика и психология высшего образования";0;0%
"Курсовой проект по учебной дисциплине ""Проектирование обслуживающих предприятий ";0;0%
Информатика;0;0%
"Системы автоматизированного проектирования нефтехимических производств";0;0%
"Курсовая работа по учебной дисциплине ""Распределенные информационные системы""";0;0%
"Курсовая работа по одной из дисциплин: 1.5, 1.6, 1.7, 1.8, 1.9, 1.12";0;0%
"История искусств";0;0%
"Технологическая оснастка";0;0%
"Инжиниринг реконструкции и эксплуатации зданий и сооружений";0;0%
"Технологии экспертных оценок опасных производств";0;0%
"Топографическое черчение и компьютерная графика";0;0%
Философия;0;0%
"Курсовая работа по учебной дисциплине ""Архитектура и строительные конструкции""";0;0%
"Архитектура персональных компьютеров";0;0%
"Схемотехника электронных устройств";0;0%
"Династические и политические элиты в Беларуси / Рынок и рыночные отношения: исто";0;0%
"Курсовой проект по учебной дисциплине ""Математические основы интеллектуальных си";0;0%
"Курсовая работа ""Основной иностранный язык""";0;0%
"Основы веб-технологий";0;0%
"Вычислительная (ознакомительная)";0;0%
"Технология обработки металлов (механическая обработка)";0;0%
"Программное обеспечение и САПР в системах электроснабжения";0;0%
"Компьютерная графика и мультимедиа";0;0%
"Методы передачи с расширением спектра";0;0%
"Курсовая работа по учебной дисциплине ""Практический аудит в промышленности""";0;0%
"Эксплуатация и ремонт средств промышленной электроники";0;0%
Проектно-исследовательская;0;0%
"Мировая экономика";0;0%
"Управление организацией";0;0%
"Машинно-ориентированное программирование";0;0%
"Учебная дисциплина 2";0;0%
"Монтаж, наладка и эксплуатация электрооборудования";0;0%
"Основы психологии и педагогики";0;0%
"Нейросетевые технологии в инфокоммуникациях";0;0%
"Курсовая работа по учебной дисциплине ""Управление цепями поставок""";0;0%
"Электронные датчики и компоненты";0;0%
Социолингвистика;0;0%
"Управление и организация разработки программного обеспечения";0;0%
Риск-менеджмент;0;0%
"Право социального обеспечения";0;0%
"Интеллектуальные технологии лидерства";0;0%
"Современный разговорный иностранный язык (на базе второго иностранного языка)";0;0%
"Иностранный язык первый (общее владение)";0;0%
"Актуальные проблемы современного литературоведения";0;0%
"Теория и методика тренинга";0;0%
"Курсовая работа по учебной дисциплине ""Нормирование точности и технические измер";0;0%
"Уголовно-правовая и криминологическая характеристика коррупции";0;0%
"Семейная педагогика и домашнее насилие";0;0%
"Личностно-ориентированное развитие специалиста";0;0%
"Электрооборудование и силовая электроника электрических и автономных транспортны";0;0%
"Научно-исследовательская (преддипломная)";0;0%
"Курсовая работа по учебной дисциплине ""Информационные технологии в процессах неф";0;0%
"Экономика и планирование на предприятии";0;0%
"Педагогические основы воспитания детей дошкольного возраста";0;0%
"История изобразительного искусства Беларуси";0;0%
"Системы автоматизированного проектирования и компьютерное моделирование";0;0%
"Строительство высотных зданий и специальных сооружений";0;0%
"Проектирование и эксплуатация систем распределения нефтепродуктов";0;0%
"Управление проектами в сфере информационных технологий";0;0%
"Этнология и этнография Беларуси";0;0%
"Актуальные проблемы архитектуры, градостроительства и дизайна архитектурной сред";0;0%
"Ресурсосберегающие технологии получения строительных материалов";0;0%
"Сооружение объектов трубопроводного транспорта в особых условиях";0;0%
"Автоматизированные технологии инженерно-геодезических работ";0;0%
"Власть и общество в Беларуси в новое и новейшее время";0;0%
"Химия воды и микробиология";0;0%
"Распределенные вычисления";0;0%
"Современный разговорный иностранный язык (основной иностранный язык)";0;0%
"Современный разговорный английский язык (на базе первого иностранного языка)";0;0%
"Теория принятия решений";0;0%
"Системы обеспечения комплексной безопасности";0;0%
"Курсовая работа по учебной дисциплине ""Информационные технологии в системах элек";0;0%
"Лабораторный спецпрактикум ""Моделирование физических процессов""";0;0%
"Курсовая работа по тематике диссертации";0;0%
"Бухгалтерский финансовый учет в промышленности";0;0%
"Схемотехника цифровых устройств";0;0%
Менеджмент;0;0%
"Инвестиционный менеджмент и оценка бизнеса";0;0%
"Экономика природопользования";0;0%
"Организация банковского бизнеса";0;0%
"Финансовый и управленческий учет";0;0%
"Финансовое управление инвестиционным потенциалом организации";0;0%
"Актуальные вопросы государственной службы";0;0%
"Адвокатура и нотариат";0;0%
"Поисковое продвижение и веб-аналитика";0;0%
"Модуль ""Перевод"" (на базе второго иностранного языка)";0;0%
"Основы логопедии";0;0%
"Эксплуатация систем водоснабжения и водоотведения";0;0%
"Правоохранительная деятельность таможенных органов";0;0%
"Технология развития белорусской речи детей";0;0%
"Теория и методика физической культуры";0;0%
"Информационное обеспечение автосервиса";0;0%
"Начертательная геометрия и перспектива";0;0%
"Курсовая работа по учебной дисциплине ""САПР машин и оборудования""";0;0%
Учебно-психологическая;0;0%
Набросок;0;0%
"Современные технологии в автомобилестроении";0;0%
"Курсовой проект по учебной дисциплине ""Архитектура""";0;0%
"Защита материалов и оборудования от коррозии";0;0%
"Разработка клиентской части веб-приложений";0;0%
"Раздел ""Архитектурно-градостроительное проектирование""";0;0%
"Курсовая работа по учебной дисциплине ""Автоматизация производственных процессов ";0;0%
"Курсовой проект по учебной дисциплине ""Новые методы и технологии в проектировани";0;0%
"Основы нефтегазового дела";0;0%
"Оптико-электронные измерения";0;0%
"Майнор: Учебная дисциплина 2";0;0%
Вентиляция;0;0%
"Администрирование компьютерных сетей";0;0%
"Проектирование программируемых мобильных систем";0;0%
"Философская и общественно-политическая мысль Беларуси";0;0%
"Веб-технологии / Семантические технологии в интернете";0;0%
Стилистика;0;0%
Учебно-поисковая;0;0%
"Основы менеджмента";0;0%
"Конструкция автомобиля";0;0%
Геймдизайн;0;0%
"Защита дипломного проекта (дипломной работы)";0;0%
"Педагогическая в воспитательно-оздоровительных учреждениях образования";0;0%
"Материаловедение и технологии";0;0%
"Перспективы робототехники в машиностроении";0;0%
"BIM-технологии проектирования";0;0%
"Современные химические процессы и технологии глубокой переработки углеводородног";0;0%
"Трехмерное моделирование";0;0%
"Градостроительство и территориальная планировка";0;0%
"Курсовая работа по учебной дисциплине ""Механика материалов и конструкций""";0;0%
"1-я научно-исследовательская";0;0%
"Техническая газодинамика";0;0%
"Программные средства обработки геодезической информации";0;0%
"Государственный экзамен по специальности";0;0%
"Автоматизация и управление процессами в системах ТГВ";0;0%
"Сетевое программное обеспечение";0;0%
"Тестирование аппаратного и программного обеспечения мобильных систем";0;0%
"Модуль ""Основной иностранный язык. Уровень 1""";0;0%
"Проектирование электронных схем программируемых мобильных систем";0;0%
"Русский язык и культура речи";0;0%
"Криптографические протоколы";0;0%
"Курсовой проект по учебной дисциплине ""Технология производства деталей электронн";0;0%
"Элементарная физика (корректирующий курс)";0;0%
"Курсовая работа по учебной дисциплине ""Программное обеспечение электронных средс";0;0%
"Практический английский язык";0;0%
"Основы радиоэлектроники / Основы цифровой электроники";0;0%
"Основы энергоэффективности";0;0%
"Финансовая логистика";0;0%
"Экономическая история / Экономическая социология";0;0%
"Прогнозирование национальной экономики";0;0%
"Анализ и аудит бухгалтерской (финансовой) отчетности";0;0%
"Правовые основы цифровой договорной практики";0;0%
"Право ЕАЭС";0;0%
"Основы экономики";0;0%
"Язык профессионального общения";0;0%
"Санитарно-техническое оборудование зданий";0;0%
"Иностранный язык первый в профессиональной деятельности";0;0%
"Основы педагогики";0;0%
"Феноменология эмоционального интеллекта и эмоциональной креативности";0;0%
"Информационное обеспечение автомобильного транспорта";0;0%
"Курсовой проект по учебной дисциплине модуля по выбору студента";0;0%
"Психология психических процессов";0;0%
"Физическая рекреация";0;0%
"Курсовой проект по учебной дисциплине ""Ремонт электричеких и автономных транспор";0;0%
"Презентация проекта и итоговое портфолио, защита интеллектуальной собственности ";0;0%
"Учебная, научно-исследовательская работа студента";0;0%
"Системное программное обеспечение";0;0%
"Инновационные технологии и практики в дошкольном образовании / Теория и методика";0;0%
"Курсовая работа по учебной дисциплине ""Семиотика""";0;0%
"Конструирование и расчет станков";0;0%
"Организация и управление процессами в строительстве";0;0%
"Эргономика и психология безопасности труда";0;0%
"Нереляционные базы данных";0;0%
"Белорусский язык (профессиональная лексика)";0;0%
"Теория архитектуры и градостроительства";0;0%
"Модуль ""Инновационные технологии и устройства в системах теплогазоснабжения и ве";0;0%
"Курсовой проект по учебной дисциплине ""Программирование на языке высокого уровня";0;0%
"Архитектура программируемых мобильных устройств и операционные системы";0;0%
"Белорусы зарубежья: история и современность";0;0%
"Представление и обработка информации в интеллектуальных системах";0;0%
"Основы копирайтинга";0;0%
Семантика;0;0%
"Теоретико-числовые алгоритмы информационной безопасности";0;0%
"Трудовое воспитание учащихся";0;0%
"Потребители электроэнергии";0;0%
"Аналитическая геометрия и векторная алгебра";0;0%
"Методы управления информационными потоками";0;0%
"Курсовая работа по учебной дисциплине ""Анализ хозяйственной деятельности в промы";0;0%
"Микропроцессорная техника / Микропроцессорные системы управления";0;0%
Реклама;0;0%
"Принятие управленческих решений и экономическая безопасность";0;0%
"Исследование операций и теория игр";0;0%
"Финансово-кредитные системы зарубежных стран";0;0%
"Общая теория права";0;0%
"Организационное поведение";0;0%
"Аудиовизуальный перевод";0;0%
"Международный коммерческий арбитраж / Правовое регулирование медицинского лечени";0;0%
"Производственные технологии";0;0%
"Модуль ""Основной иностранный язык - 4"" (английский) / Модуль ""Основной иностранн";0;0%
"Методология и методы социально-педагогического исследования";0;0%
"Курсовая работа по учебной дисциплине ""Рациональное использование и охрана водны";0;0%
"Технические средства таможенного контроля";0;0%
"Технологическое предпринимательство";0;0%
"Курсовой проект по учебной дисциплине ""Электроснабжение промышленных предприятий";0;0%
"Вычислительные методы и компьютерное моделирование";0;0%
"Технологии распределенной обработки и хранения данных";0;0%
"Бюджетный учет";0;0%
"Аналоговая и цифровая схемотехника";0;0%
"Конструирование имиджа в СМИ / Брендинг";0;0%
"Экономика организаций электронного бизнеса";0;0%
"Валютное регулирование и валютный контроль";0;0%
"Курсовая работа по одной из учебных дисциплин модулей 1.9, 1.10, 1.11, 1.12";0;0%
"Курсовая работа 2";0;0%
"Управление персоналом";0;0%
"Социально-педагогический тренинг общения";0;0%
"Судебная практика по трудовым делам";0;0%
"Модуль ""Основной иностранный язык - 4""";0;0%
"Социально-педагогические технологии";0;0%
"Технология конструкционных материалов";0;0%
"Институциональное право Союзного государства, ЕАЭС и СНГ";0;0%
"Теория и методика развития изобразительного творчества детей дошкольного возраст";0;0%
"Маркетинг спорта и туризма";0;0%
"Курсовая работа по учебной дисциплине ""Средства технологического оснащения обслу";0;0%
"Специальная живопись";0;0%
"Физическая химия";0;0%
Психолого-педагогическая;0;0%
"Курсовая работа по учебной дисциплине ""Дизайн-проектирование""";0;0%
"Инновационные технологии механосборочного производства / Система качества в техн";0;0%
"Основы эколого-энергетической устойчивости производства";0;0%
"Методы защиты материалов и оборудования химических производств от коррозии";0;0%
"Кросс-культурные коммуникации и межличностное общение";0;0%
"История белорусского книгопечатания";0;0%
"Композиция объектов архитектуры и градостроительства";0;0%
"Технологическое оснащение производства";0;0%
"Теория и практика обеспечения надежности, безопасности и долговечности конструкц";0;0%
"Автоматизированные системы управления технологическими процессами";0;0%
"Курсовая работа по учебной дисциплине ""Программное обеспечение обработки геопрос";0;0%
"Русский язык как иностранный";0;0%
"Эксплуатация систем ТГВ";0;0%
"Численные методы";0;0%
"История литературы страны изучаемого языка XVII века";0;0%
"Маркетинговые коммуникации";0;0%
"Математическая и прикладная статистика";0;0%
"Криптографические методы защиты информации";0;0%
"Промышленные датчики";0;0%
"Лабораторный спецпрактикум ""Объектно-ориентированное программирование""";0;0%
"Прикладные задачи в термодинамике и статистической физике";0;0%
"Курсовая работа по одной из учебных дисциплин модуля 2.8";0;0%
"Техническая механика";0;0%
"Теоретическая социология";0;0%
"Цифровизация бизнес-процессов";0;0%
"Персональные финансы";0;0%
"Противодействие коррупции";0;0%
"Институциональный анализ";0;0%
"Информационно-аналитическое обеспечение финасовой деятельности";0;0%
"Модуль ""Право и цифровые технологии""";0;0%
"Основные институты гражданского права зарубежных стран";0;0%
"Курсовая работа по учебной дисциплине «Маркетинговые исследования»";0;0%
"История белорусской культуры и литературы";0;0%
"Системы управления технологическими процессами в водоснабжении и водоотведении";0;0%
"Таможенный контроль в отношении перемещения культурных ценностей";0;0%
"Теоретические основы развития речи детей дошкольного возраста";0;0%
"Олимпийское движение и профессиональный спорт";0;0%
"Курсовой проект по учебной дисциплине ""Проектирование предприятий автомобильного";0;0%
"Компьютерные технологии (Программы верстки)";0;0%
"Курсовая работа по учебной дисциплине ""Гидравлика, гидромашины и гидропривод""";0;0%
"Арт-терапевтические технологии в работе психолога";0;0%
"Особенности спортивной подготовки лиц с инвалидностью / Интегрированное и инклюз";0;0%
"Современные языки программирования";0;0%
"Теоретическая механика";0;0%
"Термодинамика и термопередача";0;0%
"Моделирование систем";0;0%
"Обмерная / Учебно-ознакомительная";0;0%
"Проектирование механосборочных участков и цехов";0;0%
"Физико-химические методы исследования строительных материалов";0;0%
"Начертательная геометрия и машинная графика";0;0%
"Геодезическое прибороведение";0;0%
"История спецслужб и правоохранительных органов Беларуси";0;0%
"Метрология, стандартизация и сертификация";0;0%
"Контроль и диагностика средств вычислительной техники";0;0%
"Системное программирование";0;0%
"Защита магистерской диссертации";0;0%
"Технологии программирования";0;0%
"Курсовая работа ""Основной иностранный язык"" / ""История литературы страны изучаем";0;0%
"Устный перевод";0;0%
"Вычислительные методы алгебры";0;0%
"Основы геодезии";0;0%
"Инженерная и машинная графика";0;0%
"Инженерная психология, педагогика и управление коллективом / Педагогика и психол";0;0%
Теплотехника;0;0%
"Специальные измерения";0;0%
"Конфессиональная история Беларуси X-XVIII вв.";0;0%
"Курсовая работа по учебной дисциплине ""Кондиционирование воздуха и холодоснабжен";0;0%
"Автоматизация проектирования цифровых устройств";0;0%
"Обработка данных в электронных системах";0;0%
"Белорусский язык / Стилистика русского языка. Культура речи";0;0%
"Курсовой проект по учебной дисциплине ""Оборудование компьютерных сетей""";0;0%
"Практика устной и письменной речи I";0;0%
"Стандартизация программного обеспечения";0;0%
"Художественная обработка материалов (творческий уровень)";0;0%
"Техническая диагностика систем электроснабжения";0;0%
"Гражданский бюджет";0;0%
"Физический практикум: молекулярная физика";0;0%
"Теоретическая теплотехника";0;0%
"Транспортные системы";0;0%
"Основы журналистики / Интернет-журналистика";0;0%
"Курсовой проект по учебной дисциплине ""Маркетинг""";0;0%
"Консолидация и трансформация отчетности в формат МСФО";0;0%
"Земельное право";0;0%
"Планирование в организации (на предприятии)";0;0%
"Теоретическая фонетика";0;0%
"Иностранный язык второй в профессиональной деятельности";0;0%
"Специальный семинар по профилю диссертации";0;0%
"Концепции и парадигмы социальной педагогики";0;0%
"Ремонт автомобилей";0;0%
"Организация производства и управление предприятием";0;0%
"Технология взаимодействия дошкольного учреждения с семьей";0;0%
"Курсовая работа по учебной дисциплине ""Туристско-оздоровительная деятельность""";0;0%
"Курсовой проект по учебной дисциплине ""Проектирование транспортных предприятия""";0;0%
"Архитектурное проектирование в урбанизированной среде / Ландшафтно-экологический";0;0%
"Инновационный менеджмент / Основы реинжиниринга бизнес-процессов";0;0%
"Экономический анализ";0;0%
"Семейная педагогика и домашнее воспитание";0;0%
"Основы маркетинга и рекламы";0;0%
"Курсовая работа по учебной дисциплине ""Теория механизмов и машин""";0;0%
"Управление проектами в строительстве";0;0%
"Сооружение линейных объектов систем транспортирования и хранения нефти и газа";0;0%
"Нейросетевое моделирование";0;0%
"Основы права / Политология";0;0%
"Защита населения и объектов от чрезвычайных ситуаций. Радиационная безопасность ";0;0%
"Современные методы монтажа систем теплогазоснабжения и вентиляции / Современные ";0;0%
"Математический анализ";0;0%
"Курсовая работа по учебной дисциплине ""Технологии разработки программного обеспе";0;0%
"Современные подходы в изучении культуры Беларуси";0;0%
"Водопроводные сети";0;0%
"Программное обеспечение встроенных систем / Проектирование информационных систем";0;0%
"Модуль ""Основной иностранный язык. Уровень 4""";0;0%
"Модуль ""Лингвистические основы коммуникации""";0;0%
"Приложения компьютерного моделирования";0;0%
"Технология разработки программного обеспечения";0;0%
"Электрические аппараты";0;0%
"Автоматизация эксперимента / Компьютерные методы статистического анализа данных";0;0%
"Системы автоматизированного проектирования и управления электрофизическими устан";0;0%
"Финансовая математика / Цифровая математика на языке Excel";0;0%
"Преобразовательная техника и силовая электроника";0;0%
"Межкультурная коммуникация";0;0%
"Бизнес-планирование ИТ-стартапов";0;0%
"Экономическая информатика";0;0%
"Страховое дело";0;0%
"Технологии ведения переговоров / Управление командой";0;0%
"Экспертиза инвестиционных проектов";0;0%
"Введение в специальность";0;0%
"Практикум по культуре делового общения";0;0%
"Составление процессуальных документов по уголовным делам";0;0%
"Отраслевой маркетинг / Копирайтинг и контент-маркетинг";0;0%
"Системы управления базами данных / BI-аналитика";0;0%
"Общая психология";0;0%
"BIM-технологии в проектировании систем водоснабжения и водоотведения";0;0%
"Посттаможенный контроль и аудит";0;0%
"Гендерная психология детей дошкольного возраста";0;0%
"Психология физической культуры и спорта";0;0%
"Техническое диагностирование автомобилей";0;0%
"Проектно-методические клаузуры";0;0%
"Курсовой проект по учебной дисциплине ""Расчет и конструирование машин и агрегато";0;0%
"Теория и методика психологического тренинга";0;0%
"Проектная графика";0;0%
"Оборудование для аддитивных технологий в производстве";0;0%
"Строительство автомобильных дорог";0;0%
"Прикладные аспекты обслуживания машин и аппаратов нефтеперерабатывающих производ";0;0%
"Архитектура и программирование CUDA";0;0%
"Прикладные программные продукты в финансовой сфере";0;0%
"Римское частное право";0;0%
"Экосистема венчурной деятельности / Технологическое развитие организации";0;0%
"Культурный аспект профессионального общения";0;0%
"Теория доказательств";0;0%
